icici_code,nse_symbol,company_name,series,isin_code,group,group_source,industry,industry_source,nifty_company_name,nse_macro,nse_sector,nse_industry_info,nse_basic_industry
DSPPRI,PVTBANKADD,Dsp Nifty Private Bank Etf,EQ,INF740KA1TA7,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPPSU,PSUBANKADD,Dsp Nifty Psu Bank Etf,EQ,INF740KA1SY9,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPSIL,SILVERADD,Dsp Silver Etf,EQ,INF740KA1RE3,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPSNX,SENSEXADD,Dsp Bse Sensex Etf,EQ,INF740KA1SZ6,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSPT10,TOP10ADD,Dsp Nifty Top 10 Equal Wt Etf,EQ,INF740KA1UR9,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
DSQBIO,SQUAREDBIO,Dsq Biotech Limited,EQ,INE964A01019,Origin Agrostar Group,corporate_group_repository.xlsx,,,,,,,
DSQSOF,SQRDSFWARE,Dsq Software Ltd,BE,INE286A01017,,,,,,,,,
DUCINF,DUCON,Ducon Infratechnologies Ltd,EQ,INE741L01018,Ducon Group,corporate_group_repository.xlsx,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DUCRE1,DUCON-RE,Ducon Infratechnologies Ltd Re,BE,INE741L20018,,,Industrial Products,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
DUNCAN,DUNCANSLTD,Duncans Industries Ltd,BE,INE508A01022,,,,,,,,,
DWASUG,DWARKESH,Dwarikesh Sugar Industries Ltd,EQ,INE366A01041,Dwarikesh group,corporate_group_repository.xlsx,Sugar,nse_getSymbolData.basicIndustry,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DYNCAB,DYCL,Dynamic Cables Ltd,EQ,INE600Y01019,Mangal Group,corporate_group_repository.xlsx,Cables - Electricals,nse_getSymbolData.basicIndustry,,Industrials,Capital Goods,Industrial Products,Cables - Electricals
DYNPRO,DYNPRO,Dynemic Products Limited,EQ,INE256H01015,Dynemic Products Group,corporate_group_repository.xlsx,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DYNRE1,DYNPRO-RE,Dynemic Products Rights Ent,BE,INE256H20015,,,Specialty Chemicals,nse_getSymbolData.basicIndustry,,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DYNSYS,DSSL,Dynacons Systems & Solutions,EQ,INE417B01040,Dynacons Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
DYNTEC,DYNAMATECH,Dynamatic Technologies Ltd,EQ,INE221B01012,Dynamatic Group,corporate_group_repository.xlsx,Capital Goods,ind_niftytotalmarket_list.csv,Dynamatic Technologies Ltd.,,,,
E2ENET,E2E,E2e Networks Limited,BE,INE255Z01019,E 2 E Networks Group,corporate_group_repository.xlsx,IT Enabled Services,nse_getSymbolData.basicIndustry,,Information Technology,Information Technology,IT - Services,IT Enabled Services
EASSIL,EASTSILK,Eastern Silk Industries Limite,BE,INE962C01035,,,Other Textile Products,nse_getSymbolData.basicIndustry,,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
EASSUG,KUNDANMM,Kundan Minerals And Metals Ltd,BE,INE889B01016,Nopany Group,corporate_group_repository.xlsx,,,,,,,
EASTRI,EASEMYTRIP,Easy Trip Planners Limited,EQ,INE07O001026,EaseMyTrip Group,corporate_group_repository.xlsx,Consumer Services,ind_niftytotalmarket_list.csv,Easy Trip Planners Ltd.,,,,
ECEIND,ECEIND,Ece Industries Limited,EQ,INE588B01014,BK Birla Group,corporate_group_repository.xlsx,POWER EQUIPMENT,nse_getSymbolData.basicIndustry,,MANUFACTURING,INDUSTRIAL MANUFACTURING,INDUSTRIAL CAPITAL GOODS,POWER EQUIPMENT
ECLSER,ECLERX,Eclerx Services Limited,EQ,INE738I01010,eClerx Group,corporate_group_repository.xlsx,Services,ind_niftytotalmarket_list.csv,eClerx Services Ltd.,,,,
ECOMOB,ECOSMOBLTY,Ecos Ind Mobandhospitality Ltd,EQ,INE06HJ01020,,,Road Transport,nse_getSymbolData.basicIndustry,,Services,Services,Transport Services,Road Transport
EDEBSE,ECAPINSURE,Edelweiss Bse Cap&insuranceetf,EQ,INF754K01TX4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDEBSX,ESENSEX,Edelweiss Bse Sensex Etf,EQ,INF754K01VY8,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDEFIN,EDELWEISS,Edelweiss Financial Services L,EQ,INE532F01054,Edelweiss Group,corporate_group_repository.xlsx,Financial Services,ind_niftytotalmarket_list.csv,Edelweiss Financial Services Ltd.,,,,
EDEGOL,EGOLD,Edelweiss Gold Etf,EQ,INF754K01SE6,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDEN30,EQ30,Edelweiss Etf Nifty 100 Qty 30,EQ,INF754K01EM9,,,,,,,,,
EDEN50,ENIFTY,Edelweiss Nifty 50 Etf,EQ,INF754K01VX0,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDENBE,EBANKNIFTY,Edelweiss Nifty Bank Etf,EQ,INF754K01TE4,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
EDENI,EBANK,Edelweiss Etf Nifty Bank,EQ,INF754K01EL1,,,,,,,,,
EDENIF,NIFTYEES,Edelweiss Mf Sch Nifty Etf,EQ,INF754K01EK3,,,,,,,,,
EDENIL,ELIQUID,Edelweis Nifty 1d Rate Liq Etf,EQ,INF754K01VW2,,,Mutual Fund Scheme,nse_getSymbolData.basicIndustry,,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
